flight_id,scheduled_time,pax_count,delay_min,checkin_desks
EK001,2026-05-01 05:30:00,156,0,2
TK002,2026-05-01 05:00:00,172,0,2
EK003,2026-05-01 06:30:00,237,0,2
EK004,2026-05-01 06:45:00,275,0,3
BA005,2026-05-01 06:45:00,244,0,3
QR006,2026-05-01 07:00:00,271,0,3
DL007,2026-05-01 07:00:00,338,0,4
DL008,2026-05-01 07:45:00,313,0,3
TK009,2026-05-01 07:00:00,371,0,4
UA010,2026-05-01 08:15:00,435,30,5
LH011,2026-05-01 08:15:00,327,0,4
EK012,2026-05-01 08:45:00,212,0,2
UA013,2026-05-01 09:30:00,173,0,2
AF014,2026-05-01 09:45:00,193,0,2
UA015,2026-05-01 10:15:00,159,0,2
LH016,2026-05-01 10:15:00,141,0,2
TK017,2026-05-01 11:15:00,179,0,2
UA018,2026-05-01 11:45:00,139,0,2
QR019,2026-05-01 12:30:00,210,0,2
TK020,2026-05-01 12:00:00,202,0,2
EK021,2026-05-01 13:00:00,194,0,2
DL022,2026-05-01 13:30:00,190,5,2
TK023,2026-05-01 14:30:00,220,0,2
EK024,2026-05-01 14:15:00,175,10,2
TK025,2026-05-01 15:45:00,205,0,2
EK026,2026-05-01 15:15:00,198,5,2
BA027,2026-05-01 16:15:00,281,0,3
FR028,2026-05-01 16:30:00,255,5,3
QR029,2026-05-01 17:30:00,376,0,4
DL030,2026-05-01 17:30:00,316,0,3
LH031,2026-05-01 17:30:00,416,0,5
LH032,2026-05-01 18:15:00,353,0,4
AF033,2026-05-01 18:00:00,314,0,3
QR034,2026-05-01 18:45:00,379,10,4
LH035,2026-05-01 19:00:00,333,10,4
TK036,2026-05-01 19:15:00,294,0,3
AA037,2026-05-01 20:45:00,218,15,2
QR038,2026-05-01 20:00:00,213,0,2
QR039,2026-05-01 21:30:00,153,0,2
EK040,2026-05-01 21:15:00,142,0,2
EK041,2026-05-01 22:30:00,129,0,2
FR042,2026-05-02 05:00:00,151,0,2
DL043,2026-05-02 05:45:00,168,0,2
AA044,2026-05-02 06:00:00,232,45,2
BA045,2026-05-02 06:15:00,286,0,3
UA046,2026-05-02 06:45:00,262,0,3
TK047,2026-05-02 07:00:00,311,45,3
AA048,2026-05-02 07:45:00,318,0,3
UA049,2026-05-02 07:30:00,368,0,4
AA050,2026-05-02 07:15:00,378,10,4
DL051,2026-05-02 08:00:00,393,0,4
FR052,2026-05-02 08:45:00,357,0,4
TK053,2026-05-02 08:30:00,255,0,3
TK054,2026-05-02 09:45:00,235,0,2
QR055,2026-05-02 09:15:00,214,0,2
FR056,2026-05-02 10:00:00,154,0,2
QR057,2026-05-02 10:30:00,143,0,2
BA058,2026-05-02 11:45:00,183,0,2
QR059,2026-05-02 11:00:00,195,0,2
LH060,2026-05-02 12:30:00,220,10,2
LH061,2026-05-02 12:45:00,195,15,2
EK062,2026-05-02 13:30:00,220,5,2
QR063,2026-05-02 13:45:00,193,0,2
UA064,2026-05-02 14:30:00,252,0,3
QR065,2026-05-02 14:15:00,226,0,2
BA066,2026-05-02 15:45:00,248,0,3
TK067,2026-05-02 15:45:00,244,0,3
DL068,2026-05-02 16:30:00,285,0,3
AF069,2026-05-02 16:15:00,241,0,3
UA070,2026-05-02 17:15:00,364,15,4
AA071,2026-05-02 17:00:00,351,0,4
LH072,2026-05-02 17:00:00,370,0,4
BA073,2026-05-02 18:30:00,463,0,5
EK074,2026-05-02 18:15:00,374,0,4
DL075,2026-05-02 18:00:00,356,30,4
BA076,2026-05-02 19:45:00,359,0,4
UA077,2026-05-02 19:45:00,316,0,3
DL078,2026-05-02 20:00:00,239,10,2
AF079,2026-05-02 20:45:00,192,0,2
UA080,2026-05-02 21:30:00,173,0,2
AF081,2026-05-02 21:15:00,181,0,2
FR082,2026-05-02 22:45:00,158,0,2
FR083,2026-05-03 05:30:00,127,0,2
AA084,2026-05-03 05:30:00,161,5,2
DL085,2026-05-03 06:45:00,243,5,3
TK086,2026-05-03 06:30:00,217,0,2
AF087,2026-05-03 06:30:00,178,0,2
FR088,2026-05-03 07:15:00,305,0,3
BA089,2026-05-03 07:15:00,302,0,3
BA090,2026-05-03 07:00:00,328,0,4
LH091,2026-05-03 07:30:00,302,0,3
LH092,2026-05-03 08:15:00,372,0,4
DL093,2026-05-03 08:45:00,381,0,4
FR094,2026-05-03 08:00:00,200,0,2
TK095,2026-05-03 09:30:00,170,0,2
FR096,2026-05-03 09:30:00,182,0,2
AF097,2026-05-03 10:15:00,134,0,2
AA098,2026-05-03 10:45:00,124,20,2
BA099,2026-05-03 11:45:00,161,0,2
FR100,2026-05-03 11:15:00,165,0,2
BA101,2026-05-03 12:45:00,165,0,2
LH102,2026-05-03 12:30:00,153,10,2
BA103,2026-05-03 13:00:00,171,0,2
BA104,2026-05-03 13:30:00,159,0,2
LH105,2026-05-03 14:30:00,168,20,2
DL106,2026-05-03 14:15:00,176,0,2
LH107,2026-05-03 15:15:00,207,0,2
AA108,2026-05-03 15:45:00,175,0,2
EK109,2026-05-03 16:45:00,247,20,3
AA110,2026-05-03 16:45:00,222,0,2
DL111,2026-05-03 17:00:00,338,20,4
UA112,2026-05-03 17:00:00,353,15,4
AA113,2026-05-03 17:00:00,313,0,3
FR114,2026-05-03 18:15:00,358,10,4
LH115,2026-05-03 18:15:00,377,0,4
EK116,2026-05-03 18:15:00,341,0,4
LH117,2026-05-03 19:45:00,280,30,3
DL118,2026-05-03 19:15:00,247,0,3
AA119,2026-05-03 20:00:00,233,0,2
BA120,2026-05-03 20:30:00,200,10,2
QR121,2026-05-03 21:45:00,168,5,2
LH122,2026-05-03 21:30:00,131,15,2
DL123,2026-05-03 22:45:00,133,0,2
DL124,2026-05-04 05:00:00,114,20,2
LH125,2026-05-04 05:45:00,147,20,2
BA126,2026-05-04 06:30:00,219,0,2
BA127,2026-05-04 06:30:00,249,0,3
TK128,2026-05-04 06:45:00,224,5,2
FR129,2026-05-04 07:00:00,298,30,3
UA130,2026-05-04 07:00:00,329,0,4
AA131,2026-05-04 07:30:00,255,5,3
EK132,2026-05-04 07:00:00,363,0,4
UA133,2026-05-04 08:15:00,341,15,4
EK134,2026-05-04 08:00:00,320,0,4
AA135,2026-05-04 08:45:00,219,15,2
LH136,2026-05-04 09:30:00,197,0,2
AF137,2026-05-04 09:15:00,175,0,2
TK138,2026-05-04 10:30:00,139,15,2
FR139,2026-05-04 10:15:00,131,0,2
QR140,2026-05-04 11:45:00,136,0,2
QR141,2026-05-04 11:30:00,159,0,2
